Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget,Z-Score (Budget),Box Office Revenue,Z-Score (Revenue)
10 Cloverfield Lane,2016-03-08,https://en.wikipedia.org/wiki/10_Cloverfield_Lane,Thriller,Horror,Dan Trachtenberg,,Mary Elizabeth Winstead,John Goodman,John Gallagher,,,15000000.00,-0.69,108300000.00,-0.24
13 Hours: The Secret Soldiers of Benghazi,2016-01-15,https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi,Action,Thriller,Michael Bay,,James Badge Dale,John Krasinski,Toby Stephens,Pablo Schreiber,Max Martini,45000000.00,-0.08,69400000.00,-0.45
2 Guns,2013-08-02,https://en.wikipedia.org/wiki/2_Guns,Action,Crime,Baltasar Kormákur,,Mark Wahlberg,Denzel Washington,Paula Patton,Bill Paxton,Edward James Olmos,61000000.00,0.25,131900000.00,-0.11
21 Jump Street,2012-03-16,https://en.wikipedia.org/wiki/21_Jump_Street_(film),Comedy,Action,Phil Lord,Chris Miller,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,Rob Riggle,55000000.00,0.12,201500000.00,0.27
22 Jump Street,2014-06-04,https://en.wikipedia.org/wiki/22_Jump_Street,Action,Comedy,Phil Lord,Chris Miller,Channing Tatum,Jonah Hill,Ice Cube,,,84500000.00,0.72,331300000.00,0.98
300: Rise of an Empire,2014-03-04,https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire,Action,Fantasy,Noam Murro,,Rodrigo Santoro,Eva Green,Sullivan Stapleton,Hans Matheson,Lena Headey,110000000.00,1.24,337600000.00,1.01
42,2013-04-12,https://en.wikipedia.org/wiki/42_(film),Biography,Drama,Brian Helgeland,,Harrison Ford,Chadwick Boseman,Christopher Meloni,Ryan Merriman,Andre Holland,40000000.00,-0.18,97500000.00,-0.30
71,2014-02-07,https://en.wikipedia.org/wiki/%252771_(film),Action,Drama,Yann Demange,,Jack O'Connell,Richard Dormer,Sean Harris,Sam Reid,,8100000.00,-0.83,2900000.00,-0.81
90 Minutes in Heaven,2015-09-11,https://en.wikipedia.org/wiki/90_Minutes_in_Heaven_(film),Drama,,Michael Polish,,Hayden Christensen,Kate Bosworth,Dwight Yoakam,Michael W. Smith,,5000000.00,-0.89,4800000.00,-0.80
A Good Day to Die Hard,2013-02-14,https://en.wikipedia.org/wiki/A_Good_Day_to_Die_Hard,Action,Thriller,John Moore,,Bruce Willis,Jai Courtney,Sebastian Koch,Yuliya Snigir,Radivoje Bukvić,92000000.00,0.88,304700000.00,0.83
A Haunted House,2013-01-11,https://en.wikipedia.org/wiki/A_Haunted_House_(film),Comedy,Horror,Michael Tiddes,,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,2500000.00,-0.94,60100000.00,-0.50
A Haunted House 2,2014-04-18,https://en.wikipedia.org/wiki/A_Haunted_House_2,Comedy,,Michael Tiddes,,Marlon Wayans,Jaime Pressly,Essence Atkins,Cedric the Entertainer,Gabriel Iglesias,4000000.00,-0.91,24000000.00,-0.70
A Long Way Down,2014-02-10,https://en.wikipedia.org/wiki/A_Long_Way_Down_(film),Comedy,,Pascal Chaumeil,,Toni Collette,Pierce Brosnan,Aaron Paul,Imogen Poots,,22700000.00,-0.53,7100000.00,-0.79
A Most Violent Year,2014-11-06,https://en.wikipedia.org/wiki/A_Most_Violent_Year,Action,Crime,J. C. Chandor,,Oscar Isaac,Jessica Chastain,Alessandro Nivola,David Oyelowo,Albert Brooks,20000000.00,-0.59,12000000.00,-0.76
A Most Wanted Man,2014-01-19,https://en.wikipedia.org/wiki/A_Most_Wanted_Man_(film),Thriller,,Anton Corbijn,,Philip Seymour Hoffman,Rachel McAdams,Robin Wright,Willem Dafoe,Grigoriy Dobrygin,15000000.00,-0.69,36200000.00,-0.63
A Thousand Words,2012-03-09,https://en.wikipedia.org/wiki/A_Thousand_Words_(film),Comedy,,Brian Robbins,,Eddie Murphy,Kerry Washington,Cliff Curtis,Clark Duke,Allison Janney,40000000.00,-0.18,22000000.00,-0.71
A Walk Among the Tombstones,2014-09-19,https://en.wikipedia.org/wiki/A_Walk_Among_the_Tombstones_(film),Crime,Drama,Scott Frank,,Liam Neeson,Dan Stevens,Ruth Wilson,Boyd Holbrook,,28000000.00,-0.42,58800000.00,-0.51
A Walk in the Woods,2015-01-23,https://en.wikipedia.org/wiki/A_Walk_in_the_Woods_(film),Adventure,Comedy,Ken Kwapis,,Robert Redford,Nick Nolte,Emma Thompson,,,8000000.00,-0.83,36000000.00,-0.63
Abraham Lincoln: Vampire Hunter,2012-06-22,https://en.wikipedia.org/wiki/Abraham_Lincoln:_Vampire_Hunter_(film),Horror,Action,Timur Bekmambetov,,Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,99500000.00,1.03,116400000.00,-0.19
After Earth,2013-05-31,https://en.wikipedia.org/wiki/After_Earth,Sci-Fi,,M. Night Shyamalan,,Jaden Smith,Will Smith,Isabelle Fuhrman,Zoe Kravitz,,130000000.00,1.65,243800000.00,0.50
Ain't Them Bodies Saints,2013-08-16,https://en.wikipedia.org/wiki/Ain%2527t_Them_Bodies_Saints,Drama,,David Lowery,,Casey Affleck,Rooney Mara,Ben Foster,Rami Malek,Keith Carradine,4000000.00,-0.91,1000000.00,-0.82
Alex Cross,2012-10-19,https://en.wikipedia.org/wiki/Alex_Cross_(film),Crime,Action,Rob Cohen,,Tyler Perry,Matthew Fox,Rachel Nichols,Edward Burns,Jean Reno,35000000.00,-0.28,34600000.00,-0.64
Aloha,2015-05-27,https://en.wikipedia.org/wiki/Aloha_(film),Romance,Comedy,Cameron Crowe,,Bradley Cooper,Emma Stone,Alec Baldwin,Rachel McAdams,Bill Murray,52000000.00,0.06,26300000.00,-0.69
Alvin and the Chipmunks: The Road Chip,2015-12-18,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Road_Chip,Comedy,Family,Walt Becker,,Jason Lee,Tony Hale,Kimberly Williams-Paisley,Josh Green,Bella Thorne,90000000.00,0.84,234800000.00,0.45
American Reunion,2012-04-06,https://en.wikipedia.org/wiki/American_Reunion,Comedy,,Jon Hurwitz,,Alyson Hannigan,Seann William Scott,Tara Reid,Jason Biggs,Eugene Levy,50000000.00,0.02,235000000.00,0.45
American Sniper,2014-11-11,https://en.wikipedia.org/wiki/American_Sniper,Drama,,Clint Eastwood,,Bradley Cooper,Sienna Miller,Max Charles,Luke Grimes,,58800000.00,0.20,547400000.00,2.16
American Ultra,2015-08-21,https://en.wikipedia.org/wiki/American_Ultra,Action,Comedy,Nima Nourizadeh,,Jesse Eisenberg,Kristen Stewart,Connie Britton,Topher Grace,John Leguizamo,28000000.00,-0.42,27100000.00,-0.68
Amy,2015-06-16,https://en.wikipedia.org/wiki/Amy_(2015_film),Biography,Documentary,Asif Kapadia,,Amy Winehouse,Mitchell Winehouse,Janis Winehouse,Raye Cosbert,Nick Shymansky,3400000.00,-0.92,22000000.00,-0.71
Annabelle,2014-09-26,https://en.wikipedia.org/wiki/Annabelle_(film),Horror,,John R. Leonetti,,Annabelle Wallis,Alfre Woodard,Eric Ladin,Brian Howe,,6500000.00,-0.86,256900000.00,0.57
Annie,2014-12-07,https://en.wikipedia.org/wiki/Annie_(2014_film),Comedy,Drama,Will Gluck,,Quvenzhané Wallis,Jamie Foxx,Cameron Diaz,Rose Byrne,Bobby Cannavale,65000000.00,0.33,133800000.00,-0.10
Ant-Man,2015-06-29,https://en.wikipedia.org/wiki/Ant-Man_(film),Action,Adventure,Peyton Reed,,Paul Rudd,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Michael Peña,130000000.00,1.65,519400000.00,2.00
Argo,2012-10-12,https://en.wikipedia.org/wiki/Argo_(2012_film),Drama,,Ben Affleck,,Ben Affleck,John Goodman,Alan Arkin,Bryan Cranston,Victor Garber,44500000.00,-0.09,232300000.00,0.44
"As Above, So Below",2014-08-29,"https://en.wikipedia.org/wiki/As_Above,_So_Below_(film)",Horror,,John Erick Dowdle,,Drew Dowdle (screenplay)Perdita Weeks,Ben Feldman,Edwin Hodge,François Civil,Marion Lambert,5000000.00,-0.89,5000000.00,-0.80
Bad Moms,2016-07-29,https://en.wikipedia.org/wiki/Bad_Moms,Comedy,,Jon Lucas,Scott Moore,Mila Kunis,Christina Applegate,Kristen Bell,Jada Pinkett Smith,Kathryn Hahn,20000000.00,-0.59,124200000.00,-0.15
Barbershop: The Next Cut,2016-04-15,https://en.wikipedia.org/wiki/Barbershop:_The_Next_Cut,Comedy,,Malcolm D. Lee,,Ice Cube,Cedric the Entertainer,Nicki Minaj,Regina Hall,Eve,20000000.00,-0.59,55000000.00,-0.53
Batman v Superman: Dawn of Justice,2016-03-19,https://en.wikipedia.org/wiki/Batman_v_Superman:_Dawn_of_Justice,Action,,Zack Snyder,,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,250000000.00,4.09,872700000.00,3.93
Batman: The Killing Joke,2016-07-25,https://en.wikipedia.org/wiki/Batman:_The_Killing_Joke_(film),Action,,Sam Liu,Bruce Timm,Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,,3500000.00,-0.92,4400000.00,-0.81
Battle of the Year,2013-09-20,https://en.wikipedia.org/wiki/Battle_of_the_Year_(film),Musical,,Benson Lee,,Josh Holloway,Laz Alonso,Josh Peck,Caity Lotz,Chris Brown,20000000.00,-0.59,16500000.00,-0.74
Battleship,2012-05-18,https://en.wikipedia.org/wiki/Battleship_(film),Action,Sci-Fi,Peter Berg,,Alexander Skarsgård,Taylor Kitsch,Brooklyn Decker,Rihanna,Liam Neeson,220000000.00,3.48,303000000.00,0.82
Beasts of the Southern Wild,2012-06-27,https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild,Drama,Fantasy,Benh Zeitlin,,Quvenzhané Wallis,Dwight Henry,,,,1800000.00,-0.96,21900000.00,-0.71
Beautiful Creatures,2013-02-14,https://en.wikipedia.org/wiki/Beautiful_Creatures_(2013_film),Fantasy,Romance,Richard LaGravenese,,Viola Davis,Alice Englert,Emma Thompson,Emmy Rossum,Jeremy Irons,60000000.00,0.23,60100000.00,-0.50
Before I Go to Sleep,2014-09-04,https://en.wikipedia.org/wiki/Before_I_Go_to_Sleep_(film),Mystery,Thriller,Rowan Joffé,,Nicole Kidman,Mark Strong,Colin Firth,Anne-Marie Duff,,22000000.00,-0.55,15100000.00,-0.75
