"title","imdb_id","titleType","startYear","endYear","genres","averageRating","numVotes","director","platform"
"A Trip to the Moon","tt0000417","short",1902,0,"Adventure,Comedy,Fantasy",8.1,57497,"Georges Méliès","Max"
"The Cheat","tt0005078","movie",1915,0,"Drama,Romance",6.5,2896,"Cecil B. DeMille","Prime Video"
"Intolerance: Love's Struggle Throughout the Ages","tt0006864","movie",1916,0,"Drama,History",7.7,17155,"D.W. Griffith","Prime Video"
"The Immigrant","tt0008133","short",1917,0,"Comedy,Drama,Romance",7.6,9440,"Charles Chaplin","Max"
"A Dog's Life","tt0009018","short",1918,0,"Comedy,Drama,Short",7.6,9965,"Charles Chaplin","Max"
"A Dog's Life","tt0009018","short",1918,0,"Comedy,Drama,Short",7.6,9965,"Charles Chaplin","Prime Video"
"Shoulder Arms","tt0009611","short",1918,0,"Comedy,Short,War",7.3,7592,"Charles Chaplin","Max"
"Stella Maris","tt0009652","movie",1918,0,"Drama",6.9,1615,"Marshall Neilan","Prime Video"
"Dr. Jekyll and Mr. Hyde","tt0011130","movie",1920,0,"Drama,Horror,Sci-Fi",6.9,6264,"John S. Robertson","Prime Video"
"The Last of the Mohicans","tt0011387","movie",1920,0,"Action,Adventure,Drama",6.7,1486,NA,"Prime Video"
"Way Down East","tt0011841","movie",1920,0,"Drama,Romance",7.3,6031,"D.W. Griffith","Prime Video"
"The Kid","tt0012349","movie",1921,0,"Comedy,Drama,Family",8.2,139007,"Charles Chaplin","Max"
"Orphans of the Storm","tt0012532","movie",1921,0,"Drama,History,Romance",7.3,5587,"D.W. Griffith","Prime Video"
"Häxan","tt0013257","movie",1922,0,"Documentary,Fantasy,Horror",7.6,17563,"Benjamin Christensen","Max"
"Nanook of the North","tt0013427","movie",1922,0,"Documentary",7.6,13777,"Robert J. Flaherty","Max"
"Nosferatu","tt0013442","movie",1922,0,"Fantasy,Horror",7.8,110492,"F.W. Murnau","Prime Video"
"Pay Day","tt0013486","short",1922,0,"Comedy,Short",7.4,4994,"Charles Chaplin","Max"
"Robin Hood","tt0013556","movie",1922,0,"Adventure,Family,Romance",7,2545,"Allan Dwan","Prime Video"
"The Hunchback of Notre Dame","tt0014142","movie",1923,0,"Drama,Horror,Romance",7.2,6330,"Wallace Worsley","Prime Video"
"The Pilgrim","tt0014358","movie",1923,0,"Comedy,Western",7.2,5835,"Charles Chaplin","Prime Video"
"Safety Last!","tt0014429","movie",1923,0,"Action,Comedy,Thriller",8.1,23566,NA,"Max"
"A Woman of Paris: A Drama of Fate","tt0014624","movie",1923,0,"Drama,Romance",6.9,6388,"Charles Chaplin","Max"
"The Marriage Circle","tt0015119","movie",1924,0,"Comedy",7,1559,"Ernst Lubitsch","Prime Video"
"Battleship Potemkin","tt0015648","movie",1925,0,"Drama,History,Thriller",7.9,62626,"Sergei Eisenstein","Max"
"Don Q Son of Zorro","tt0015758","movie",1925,0,"Adventure,Romance",6.9,579,"Donald Crisp","Prime Video"
"The Eagle","tt0015772","movie",1925,0,"Action,Adventure,Comedy",6.6,2337,"Clarence Brown","Prime Video"
"The Freshman","tt0015841","movie",1925,0,"Comedy,Family,Romance",7.5,6224,NA,"Max"
"The Gold Rush","tt0015864","movie",1925,0,"Adventure,Comedy,Drama",8.1,121721,"Charles Chaplin","Max"
"The Gold Rush","tt0015864","movie",1925,0,"Adventure,Comedy,Drama",8.1,121721,"Charles Chaplin","Prime Video"
"Little Annie Rooney","tt0016028","movie",1925,0,"Comedy,Drama",6.8,1088,"William Beaudine","Prime Video"
"The Lost World","tt0016039","movie",1925,0,"Adventure,Fantasy,Horror",6.9,6018,"Harry O. Hoyt","Prime Video"
"The Pleasure Garden","tt0016230","movie",1925,0,"Drama,Romance",5.8,3005,"Alfred Hitchcock","Prime Video"
"The Unholy Three","tt0016473","movie",1925,0,"Crime,Drama,Romance",7.1,2366,"Tod Browning","Prime Video"
"The Lodger: A Story of the London Fog","tt0017075","movie",1927,0,"Crime,Drama,Mystery",7.3,13931,"Alfred Hitchcock","Max"
"The Lodger: A Story of the London Fog","tt0017075","movie",1927,0,"Crime,Drama,Mystery",7.3,13931,"Alfred Hitchcock","Prime Video"
"Mother","tt0017128","movie",1926,0,"Drama",7.4,3146,"Vsevolod Pudovkin","Prime Video"
"So This Is Paris","tt0017409","movie",1926,0,"Comedy",7.1,789,"Ernst Lubitsch","Max"
"Sparrows","tt0017423","movie",1926,0,"Drama",7.3,1568,NA,"Prime Video"
"Berlin: Symphony of a Great City","tt0017668","movie",1927,0,"Documentary",7.6,4898,"Walter Ruttmann","Max"
"The Cat and the Canary","tt0017739","movie",1927,0,"Comedy,Horror,Mystery",7.1,3532,"Paul Leni","Prime Video"
"College","tt0017765","movie",1927,0,"Comedy,Drama,Sport",6.9,5610,NA,"Prime Video"
"Downhill","tt0017825","movie",1927,0,"Adventure,Drama,Thriller",6,3214,"Alfred Hitchcock","Max"
"The General","tt0017925","movie",1926,0,"Action,Adventure,Comedy",8.1,101042,NA,"Prime Video"
"The Kid Brother","tt0018051","movie",1927,0,"Comedy,Drama,Family",7.6,4964,NA,"Max"
"The King of Kings","tt0018054","movie",1927,0,"Biography,Drama,Family",7.4,2485,"Cecil B. DeMille","Max"
"The Ring","tt0018328","movie",1927,0,"Drama,Romance,Sport",6.1,4059,"Alfred Hitchcock","Prime Video"
"Pandora's Box","tt0018737","movie",1929,0,"Crime,Drama,Romance",7.7,12213,"Georg Wilhelm Pabst","Max"
"The Circus","tt0018773","movie",1928,0,"Comedy,Family,Romance",8.1,36805,"Charles Chaplin","Max"
"The Circus","tt0018773","movie",1928,0,"Comedy,Family,Romance",8.1,36805,"Charles Chaplin","Prime Video"
"The Garden of Eden","tt0018927","movie",1928,0,"Comedy,Drama",6.7,515,"Lewis Milestone","Prime Video"
"The Passion of Joan of Arc","tt0019254","movie",1928,0,"Biography,Drama,History",8.1,63237,"Carl Theodor Dreyer","Max"
"Speedy","tt0019412","movie",1928,0,"Action,Comedy,Family",7.6,4451,"Ted Wilde","Max"
"Steamboat Bill, Jr.","tt0019421","movie",1928,0,"Action,Comedy,Drama",7.8,16555,NA,"Prime Video"
"Steamboat Willie","tt0019422","short",1928,0,"Animation,Comedy,Family",7.5,11755,NA,"Disney+"
"Blackmail","tt0019702","movie",1929,0,"Crime,Drama,Thriller",6.9,12440,"Alfred Hitchcock","Prime Video"
"The Iron Mask","tt0020030","movie",1929,0,"Adventure,Drama,History",7,1440,"Allan Dwan","Prime Video"
"The Manxman","tt0020142","movie",1929,0,"Drama,Romance",6.2,3382,"Alfred Hitchcock","Prime Video"
"People on Sunday","tt0020163","movie",1930,0,"Comedy,Drama,Romance",7.3,3647,NA,"Max"
"The Skeleton Dance","tt0020414","short",1929,0,"Animation,Comedy,Family",7.6,6739,"Walt Disney","Disney+"
"Abraham Lincoln","tt0020620","movie",1930,0,"Biography,Drama,War",5.6,1763,"D.W. Griffith","Prime Video"
"The Devil to Pay!","tt0020821","movie",1930,0,"Comedy,Romance",6.6,847,"George Fitzmaurice","Prime Video"
"Westfront 1918","tt0021542","movie",1930,0,"Drama,Romance,War",7.3,2553,"Georg Wilhelm Pabst","Max"
"Arrowsmith","tt0021622","movie",1931,0,"Drama",6.2,2069,"John Ford","Prime Video"
"City Lights","tt0021749","movie",1931,0,"Comedy,Drama,Romance",8.5,203364,"Charles Chaplin","Max"
"City Lights","tt0021749","movie",1931,0,"Comedy,Drama,Romance",8.5,203364,"Charles Chaplin","Prime Video"
"The 3 Penny Opera","tt0021818","movie",1931,0,"Comedy,Crime,Drama",7.2,2600,"Georg Wilhelm Pabst","Max"
"Comradeship","tt0022017","movie",1931,0,"Drama",7.5,1844,"Georg Wilhelm Pabst","Max"
"Kept Husbands","tt0022021","movie",1931,0,"Drama,Romance",5.9,650,"Lloyd Bacon","Max"
"Kept Husbands","tt0022021","movie",1931,0,"Drama,Romance",5.9,650,"Lloyd Bacon","Prime Video"
"M","tt0022100","movie",1931,0,"Crime,Mystery,Thriller",8.3,174273,"Fritz Lang","Max"
"Street Scene","tt0022436","movie",1931,0,"Drama,Romance",7.6,2209,"King Vidor","Prime Video"
"Tabu: A Story of the South Seas","tt0022458","movie",1931,0,"Adventure,Drama,Romance",7.4,6570,"F.W. Murnau","Prime Video"
"Tonight or Never","tt0022489","movie",1931,0,"Comedy,Romance",6.5,1743,"Mervyn LeRoy","Max"
"A Farewell to Arms","tt0022879","movie",1932,0,"Drama,Romance,War",6.4,7060,"Frank Borzage","Prime Video"
"Forbidden","tt0022905","movie",1932,0,"Drama,Romance",6.9,1909,"Frank Capra","Prime Video"
"The Most Dangerous Game","tt0023238","movie",1932,0,"Action,Adventure,Horror",7.1,14443,NA,"Max"
"The Most Dangerous Game","tt0023238","movie",1932,0,"Action,Adventure,Horror",7.1,14443,NA,"Prime Video"
"The Mouthpiece","tt0023240","movie",1932,0,"Drama",7.2,599,NA,"Max"
"Number Seventeen","tt0023285","movie",1932,0,"Crime,Mystery,Thriller",5.7,5626,"Alfred Hitchcock","Prime Video"
"Rain","tt0023369","movie",1932,0,"Drama",6.9,3163,"Lewis Milestone","Prime Video"
"Speak Easily","tt0023498","movie",1932,0,"Comedy",5.8,1198,"Edward Sedgwick","Prime Video"
"The Testament of Dr. Mabuse","tt0023563","movie",1933,0,"Crime,Mystery,Thriller",7.9,13886,"Fritz Lang","Max"
"Vampyr","tt0023649","movie",1932,0,"Fantasy,Horror",7.4,21283,"Carl Theodor Dreyer","Max"
"White Zombie","tt0023694","movie",1932,0,"Horror",6.2,12030,"Victor Halperin","Prime Video"
"The Bitter Tea of General Yen","tt0023814","movie",1932,0,"Drama,Romance,War",6.9,4466,"Frank Capra","Prime Video"
"The Ghoul","tt0024055","movie",1933,0,"Action,Drama,Horror",5.8,3425,"T. Hayes Hunter","Prime Video"
"Dragnet Girl","tt0024120","movie",1933,0,"Crime,Drama,Romance",6.9,1148,"Yasujirô Ozu","Max"
"Morning Glory","tt0024353","movie",1933,0,"Drama,Romance",6.4,3357,"Lowell Sherman","Paramount+"
"The Private Life of Henry VIII","tt0024473","movie",1933,0,"Biography,Drama,History",7,5031,"Alexander Korda","Max"
"The Private Life of Henry VIII","tt0024473","movie",1933,0,"Biography,Drama,History",7,5031,"Alexander Korda","Prime Video"
"Roman Scandals","tt0024507","movie",1933,0,"Comedy,Fantasy,Musical",6.6,842,"Frank Tuttle","Prime Video"
"Three Little Pigs","tt0024660","short",1933,0,"Animation,Comedy,Family",7.5,6974,"Burt Gillett","Disney+"
"The Vampire Bat","tt0024727","movie",1933,0,"Drama,Horror,Mystery",5.7,3169,"Frank R. Strayer","Prime Video"
"Wild Boys of the Road","tt0024772","movie",1933,0,"Adventure,Drama",7.5,2433,"William A. Wellman","Max"
"Blue Steel","tt0024902","movie",1934,0,"Drama,Western",5.3,1815,"Robert N. Bradbury","Prime Video"
"The Count of Monte Cristo","tt0025004","movie",1934,0,"Action,Adventure,Drama",7.4,3394,"Rowland V. Lee","Prime Video"
"Judge Priest","tt0025335","movie",1934,0,"Comedy,Drama,Romance",6.2,2615,"John Ford","Prime Video"
"Kid Millions","tt0025347","movie",1934,0,"Comedy,Musical,Romance",6.7,605,NA,"Prime Video"
"The Man Who Knew Too Much","tt0025452","movie",1934,0,"Crime,Mystery,Thriller",6.7,21911,"Alfred Hitchcock","Max"
"The Man Who Knew Too Much","tt0025452","movie",1934,0,"Crime,Mystery,Thriller",6.7,21911,"Alfred Hitchcock","Prime Video"
"Man of Aran","tt0025456","movie",1934,0,"Documentary,Drama",7.1,2384,"Robert J. Flaherty","Prime Video"
"The Scarlet Pimpernel","tt0025748","movie",1934,0,"Adventure,Drama",7.3,4898,"Harold Young","Max"
"A Story of Floating Weeds","tt0025929","movie",1934,0,"Drama",7.6,3582,"Yasujirô Ozu","Max"
"The 39 Steps","tt0026029","movie",1935,0,"Crime,Mystery,Thriller",7.6,62956,"Alfred Hitchcock","Max"
"The 39 Steps","tt0026029","movie",1935,0,"Crime,Mystery,Thriller",7.6,62956,"Alfred Hitchcock","Prime Video"
"The Band Concert","tt0026094","short",1935,0,"Animation,Comedy,Family",7.8,4100,"Wilfred Jackson","Disney+"
"Scrooge","tt0026972","movie",1935,0,"Drama,Family,Fantasy",6.4,2768,"Henry Edwards","Paramount+"
"Scrooge","tt0026972","movie",1935,0,"Drama,Family,Fantasy",6.4,2768,"Henry Edwards","Prime Video"
"The Wedding Night","tt0027189","movie",1935,0,"Drama,Romance",6.6,1102,"King Vidor","Prime Video"
"The Whole Town's Talking","tt0027214","movie",1935,0,"Comedy,Crime,Drama",7.3,3476,"John Ford","Prime Video"
"Come and Get It","tt0027459","movie",1936,0,"Drama,Romance",6.9,2477,NA,"Prime Video"
"Dodsworth","tt0027532","movie",1936,0,"Drama,Romance",7.7,10491,"William Wyler","Prime Video"
"Flash Gordon","tt0027623","movie",1936,0,"Action,Adventure,Family",7,2744,NA,"Prime Video"
"The Last of the Mohicans","tt0027869","movie",1936,0,"Adventure,Drama,Western",6.6,1726,"George B. Seitz","Prime Video"
"Modern Times","tt0027977","movie",1936,0,"Comedy,Drama,Romance",8.5,268117,"Charles Chaplin","Max"
"Modern Times","tt0027977","movie",1936,0,"Comedy,Drama,Romance",8.5,268117,"Charles Chaplin","Prime Video"
"My Man Godfrey","tt0028010","movie",1936,0,"Comedy,Drama,Romance",7.9,27144,"Gregory La Cava","Prime Video"
"Ride, Ranger, Ride","tt0028181","movie",1936,0,"Drama,Music,Western",4.8,219,"Joseph Kane","Prime Video"
"Sabotage","tt0028212","movie",1936,0,"Crime,Thriller",7,19336,"Alfred Hitchcock","Max"
"These Three","tt0028356","movie",1936,0,"Drama,Romance",7.4,3134,"William Wyler","Prime Video"
"Things to Come","tt0028358","movie",1936,0,"Drama,Sci-Fi,War",6.6,9403,"William Cameron Menzies","Prime Video"
"Thru the Mirror","tt0028378","short",1936,0,"Animation,Comedy,Family",7.5,2920,"David Hand","Disney+"
"A Day in the Country","tt0028445","short",1946,0,"Comedy,Drama,Romance",7.5,7310,"Jean Renoir","Max"
"Winds of the Wasteland","tt0028510","movie",1936,0,"Drama,Western",6,1204,"Mack V. Wright","Prime Video"
"Clock Cleaners","tt0028726","short",1937,0,"Animation,Comedy,Family",7.4,3062,"Ben Sharpsteen","Disney+"
"Dead End","tt0028773","movie",1937,0,"Crime,Drama,Film-Noir",7.2,8876,"William Wyler","Prime Video"
"The Hurricane","tt0029030","movie",1937,0,"Action,Adventure,Drama",7.1,3137,"John Ford","Prime Video"
"Kid Galahad","tt0029080","movie",1937,0,"Crime,Drama,Film-Noir",7.2,4063,"Michael Curtiz","Max"
"Lonesome Ghosts","tt0029161","short",1937,0,"Animation,Comedy,Family",7.5,3583,"Burt Gillett","Disney+"
"Love Takes Flight","tt0029168","movie",1937,0,"Adventure,Drama,Romance",6.1,70,"Conrad Nagel","Prime Video"
"Marked Woman","tt0029217","movie",1937,0,"Crime,Film-Noir,Thriller",7.1,5122,NA,"Max"
"My Favorite Wife","tt0029284","movie",1940,0,"Comedy,Romance",7.3,11827,"Garson Kanin","Max"
"The Old Mill","tt0029339","short",1937,0,"Animation,Comedy,Family",7.8,5049,NA,"Disney+"
"The Prince and the Pauper","tt0029440","movie",1937,0,"Adventure,Drama,Family",7.2,2967,NA,"Max"
"San Quentin","tt0029511","movie",1937,0,"Crime,Drama,Film-Noir",6.5,2295,"Lloyd Bacon","Max"
"Snow White and the Seven Dwarfs","tt0029583","movie",1937,0,"Adventure,Animation,Family",7.6,220969,NA,"Disney+"
"A Star Is Born","tt0029606","movie",1937,0,"Drama,Romance",7.3,11193,NA,"Max"
"A Star Is Born","tt0029606","movie",1937,0,"Drama,Romance",7.3,11193,NA,"Prime Video"
"Stella Dallas","tt0029608","movie",1937,0,"Drama,Romance",7.4,6538,"King Vidor","Prime Video"
"Young and Innocent","tt0029811","movie",1937,0,"Crime,Drama,Mystery",6.8,11244,"Alfred Hitchcock","Prime Video"
"The Adventures of Robin Hood","tt0029843","movie",1938,0,"Action,Adventure,Romance",7.9,55519,NA,"Max"
"The Adventures of Tom Sawyer","tt0029844","movie",1938,0,"Adventure,Drama,Family",7,2318,"Norman Taurog","Prime Video"
"Algiers","tt0029855","movie",1938,0,"Drama,Mystery,Romance",6.6,3383,"John Cromwell","Prime Video"
"Bar 20 Justice","tt0029895","movie",1938,0,"Drama,Western",6.5,202,"Lesley Selander","Prime Video"
"Blondie","tt0029927","movie",1938,0,"Comedy,Family",6.9,891,"Frank R. Strayer","Prime Video"
"Brave Little Tailor","tt0029943","short",1938,0,"Animation,Comedy,Family",7.5,3451,NA,"Disney+"
"A Christmas Carol","tt0029992","movie",1938,0,"Drama,Family,Fantasy",7.5,9210,"Edwin L. Marin","Max"
"The Cowboy and the Lady","tt0030018","movie",1938,0,"Comedy,Western",6.5,1882,NA,"Prime Video"
"Held For Ransom","tt0030228","movie",1938,0,"Action,Adventure,Crime",5.3,172,"Clarence Bricker","Prime Video"
"Holiday","tt0030241","movie",1938,0,"Comedy,Romance",7.7,18938,"George Cukor","Prime Video"
"The Lady Vanishes","tt0030341","movie",1938,0,"Mystery,Thriller",7.7,58497,"Alfred Hitchcock","Max"
"The Lady Vanishes","tt0030341","movie",1938,0,"Mystery,Thriller",7.7,58497,"Alfred Hitchcock","Prime Video"
"Mickey's Trailer","tt0030448","short",1938,0,"Adventure,Animation,Comedy",7.9,3754,"Ben Sharpsteen","Disney+"
"Pygmalion","tt0030637","movie",1938,0,"Comedy,Drama,Romance",7.7,9903,NA,"Max"
"The Rage of Paris","tt0030652","movie",1938,0,"Comedy",6.9,1016,"Henry Koster","Prime Video"
"Volga - Volga","tt0030947","movie",1938,0,"Comedy,Musical",6.6,808,"Grigoriy Aleksandrov","Prime Video"
"Each Dawn I Die","tt0031260","movie",1939,0,"Crime,Drama,Film-Noir",7.2,3868,"William Keighley","Max"
"Fisherman's Wharf","tt0031313","movie",1939,0,"Adventure,Drama,Music",5.6,113,"Bernard Vorhaus","Prime Video"
"The Flying Deuces","tt0031322","movie",1939,0,"Comedy,Family,War",6.7,5906,"A. Edward Sutherland","Prime Video"
"The Four Feathers","tt0031334","movie",1939,0,"Adventure,Drama,Romance",7.4,6738,"Zoltan Korda","Max"
"Gone with the Wind","tt0031381","movie",1939,0,"Drama,Romance,War",8.2,341583,NA,"Max"
"The Gorilla","tt0031387","movie",1939,0,"Comedy,Horror",4.8,1733,"Allan Dwan","Prime Video"
"Gulliver's Travels","tt0031397","movie",1939,0,"Adventure,Animation,Comedy",6.6,5013,NA,"Prime Video"
"King of the Underworld","tt0031536","movie",1939,0,"Crime,Drama,Romance",6.4,1647,"Lewis Seiler","Max"
"The Little Princess","tt0031580","movie",1939,0,"Comedy,Drama,Family",7.1,6902,NA,"Prime Video"
"Love Affair","tt0031593","movie",1939,0,"Comedy,Drama,Romance",7.3,6689,"Leo McCarey","Max"
"Of Mice and Men","tt0031742","movie",1939,0,"Adventure,Drama",7.8,7079,"Lewis Milestone","Max"
"The Oklahoma Kid","tt0031747","movie",1939,0,"Action,Western",6.4,2717,"Lloyd Bacon","Max"
"Only Angels Have Wings","tt0031762","movie",1939,0,"Adventure,Drama,Romance",7.6,16197,"Howard Hawks","Prime Video"
"The Real Glory","tt0031842","movie",1939,0,"Action,History,Romance",6.5,1248,"Henry Hathaway","Prime Video"
"The Return of Doctor X","tt0031851","movie",1939,0,"Horror,Mystery,Sci-Fi",5.7,2663,"Vincent Sherman","Max"
"The Roaring Twenties","tt0031867","movie",1939,0,"Crime,Drama,Thriller",7.9,16264,"Raoul Walsh","Max"
"Stagecoach","tt0031971","movie",1939,0,"Adventure,Drama,Western",7.8,55450,"John Ford","Max"
"Stagecoach","tt0031971","movie",1939,0,"Adventure,Drama,Western",7.8,55450,"John Ford","Prime Video"
"Ugly Duckling","tt0032071","short",1939,0,"Animation,Comedy,Family",7.6,3782,NA,"Disney+"
"The Wizard of Oz","tt0032138","movie",1939,0,"Adventure,Family,Fantasy",8.1,442413,NA,"Max"
"Wuthering Heights","tt0032145","movie",1939,0,"Drama,Romance",7.5,20306,"William Wyler","Prime Video"
"The Ape","tt0032215","movie",1940,0,"Horror",4.6,2133,"William Nigh","Prime Video"
"The Border Legion","tt0032274","movie",1940,0,"Drama,Music,Western",6.1,144,"Joseph Kane","Prime Video"
"British Intelligence","tt0032283","movie",1939,0,"Romance,Thriller,War",6.1,1345,"Terry O. Morse","Prime Video"
"Fantasia","tt0032455","movie",1940,0,"Animation,Family,Fantasy",7.7,106451,NA,"Disney+"
"Foreign Correspondent","tt0032484","movie",1940,0,"Action,Drama,Romance",7.4,24476,"Alfred Hitchcock","Max"
"The Great Dictator","tt0032553","movie",1940,0,"Comedy,Drama,War",8.4,245248,"Charles Chaplin","Max"
"His Girl Friday","tt0032599","movie",1940,0,"Comedy,Drama,Romance",7.8,64657,"Howard Hawks","Prime Video"
"Invisible Stripes","tt0032636","movie",1939,0,"Action,Crime,Drama",6.7,1982,"Lloyd Bacon","Max"
"It All Came True","tt0032643","movie",1940,0,"Comedy,Crime,Drama",6.6,1519,"Lewis Seiler","Max"
"The Long Voyage Home","tt0032728","movie",1940,0,"Drama,War",6.9,5165,"John Ford","Max"
"Our Town","tt0032881","movie",1940,0,"Drama,Family,Romance",6.5,3106,"Sam Wood","Prime Video"
"Pinocchio","tt0032910","movie",1940,0,"Adventure,Animation,Comedy",7.5,164014,NA,"Disney+"
"The Shop Around the Corner","tt0033045","movie",1940,0,"Comedy,Drama,Romance",8,40434,"Ernst Lubitsch","Max"
"Strike Up the Band","tt0033110","movie",1940,0,"Comedy,Musical,Romance",6.8,1989,"Busby Berkeley","Max"
"Swiss Family Robinson","tt0033124","movie",1940,0,"Adventure,Family",6.3,863,"Edward Ludwig","Disney+"
"They Drive by Night","tt0033149","movie",1940,0,"Crime,Drama,Film-Noir",7.2,9383,"Raoul Walsh","Max"
"The Thief of Bagdad","tt0033152","movie",1940,0,"Adventure,Family,Fantasy",7.4,14968,NA,"Max"
"The Westerner","tt0033253","movie",1940,0,"Drama,Western",7.3,7042,"William Wyler","Prime Video"
"Adam Had Four Sons","tt0033314","movie",1941,0,"Drama",6.6,1401,"Gregory Ratoff","Prime Video"
"Dumbo","tt0033563","movie",1941,0,"Adventure,Animation,Drama",7.2,145252,NA,"Disney+"
"49th Parallel","tt0033627","movie",1941,0,"Drama,Thriller,War",7.3,7960,"Michael Powell","Max"
"49th Parallel","tt0033627","movie",1941,0,"Drama,Thriller,War",7.3,7960,"Michael Powell","Prime Video"
